"next_page_token","results__formatted_address","results__geometry__location__lat","results__geometry__location__lng","results__geometry__viewport__|","results__geometry__viewport__|__lat","results__geometry__viewport__|__lng","results__icon","results__id","results__name","results__opening_hours__open_now","results__photos__height","results__photos__html_attributions__-","results__photos__photo_reference","results__photos__width","results__place_id","results__plus_code__compound_code","results__plus_code__global_code","results__rating","results__reference","results__types__001","results__types__002","results__types__003","results__types__004","results__types__005","results__user_ratings_total","status"
"CpQCAwEAADyNdsZbPeXTZ8wGDfHpko6fV7S-Cp5ZFBwniDyfuytxARxssvfbGfW7U2cW1JAcBp1MQc7-5GqxzBPkXiZmCC__RRmplLuXXuQcpKoFHZ7AzbLB_tH5u9AGA-ZNrdrridVsj77_Y7OrQDIFbHkPEpk-quuR62VcUxJppj-YkZjHMXyq4UWm_05Kx2fbIwOboPBEcwCj14mRf-D8pQjmsoyhQvio48qEv1OraBmcVwtV5uBlkCWcDKsFfn63v5ejNW_d5PwZ4HSYRGGMcXr5hX-bq9eLTgvK7_sniu7k7FlqDp4UfkUP2I2fDPoIN_Cr7vQj528uspJvQkb58j51a1byZcVe6F6FcNwEDNLZP4y1EhBfsXOdOT1DsTrJCu7ov9LYGhQzH9Vn_kbWRbOcQ5TS9EPeIfmizg","Old Goa Rd, Bainguinim, Goa 403402, India","15.5008938","73.9116272","northeast","15.50260592989272","73.91289957989272","https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png","b9f14db47880efeeeb2bf2bfce9cfbfe4dd5bd88","Basilica of Bom Jesus","","3086","<a href=""https://maps.google.com/maps/contrib/100207783005672587006"">Santhosh S</a>","CmRaAAAAEnfVVIZlnOJ4RX3z5m0-k7WmYPBbhV2cYZZ16EC5VFEaWURlfHqX-z0k2_oF7eeKCTFs3kSdfIC2M5V-QHG-FP_FF44tN-ZgpKh5WaUBh_b6I2hjgiCKh356ggFiqKjFEhCZkine38ogBiV61A0pGddfGhTO0owvB4-KtFPVQx1X1mvDmHyA9g","4608","ChIJiQKbufK-vzsRuKcVn2hWgB4","GW26+9M Bainguinim, Goa","7J7MGW26+9M","4.5","ChIJiQKbufK-vzsRuKcVn2hWgB4","tourist_attraction","church","place_of_worship","point_of_interest","establishment","26442","OK"
"","","","","southwest","15.49990627010728","73.91019992010727","","","","","","","","","","","","","","","","","","","",""
"","Velha, Goa 403402, India","15.5038769","73.9121918","northeast","15.50492702989272","73.91357422989273","https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png","8fdbfe7b793520b5c67ccd54943d44edde9f8fa9","Se Cathedral","True","4032","<a href=""https://maps.google.com/maps/contrib/116155971378232332158"">Urvish rana</a>","CmRaAAAA4GcwvelKNNkmeeDENHej8O0yYgvMANOmHiMuO2145l4XISfOvGGq1ntTinCA7eruE6PO5wwji-8lFhNUhUGQObKpLAzh_M-iSaUz12NGf0K5nxvmhyH5TpXx7Z-H2T4oEhBQaGTBea5EmGR2xJ4SbBINGhTY3pV4QbsXvdzK6EP2lT0FXMFDyw","3024","ChIJE0a0LfO-vzsR8JyKJEBHTMk","GW36+HV Ella, Goa","7J7MGW36+HV","4.5","ChIJE0a0LfO-vzsR8JyKJEBHTMk","tourist_attraction","church","place_of_worship","point_of_interest","establishment","3893",""
"","","","","southwest","15.50222737010728","73.91087457010728","","","","","","","","","","","","","","","","","","","",""
"","Off National Highway 4, Goa Velha, Goa 403110, India","15.5030684","73.9112497","northeast","15.50440802989272","73.91263607989271","https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png","ea628813c2af142d8405f97810042c8d3377b5d6","Catholic Church of St. Francis of Assisi","","1080","<a href=""https://maps.google.com/maps/contrib/114402425507847186145"">Alexey Zaikeen</a>","CmRaAAAAFakOYqL5cQmLFl4IUjpWQomxfIGTtvjNSCwSEubq4oDfUcJvMBrJlUOsDq_GW36m3xJdhYusvRXD-11cDs2jr8J6XvOPac7eRzL6tfvSAJpTuGZHs-PvPdS4W35kl2bgEhCCB4H1mGR9r0t8X1ITOiMhGhQ9BNVwSEk8Mt81SoDzLvu_zltZSA","1920","ChIJ78JjO_O-vzsRRzk9_PvVgE0","GW36+6F Ella, Goa","7J7MGW36+6F","4.5","ChIJ78JjO_O-vzsRRzk9_PvVgE0","tourist_attraction","church","place_of_worship","point_of_interest","establishment","1832",""
"","","","","southwest","15.50170837010728","73.90993642010726","","","","","","","","","","","","","","","","","","","",""
"","Goa Velha, Goa 403402, India","15.5055969","73.9150423","northeast","15.50691492989273","73.91636147989271","https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png","6dc0aed659d7bd9e6a5e70074bad490e71347269","Church of St. Cajetan","","1080","<a href=""https://maps.google.com/maps/contrib/111287471704505620640"">Ashok kumar</a>","CmRaAAAA9f8QVAiDd1UkY84l30L1mUjDn43EZKYQ-892-kBUK4M5YB4NoGMLuUofrYJcKnX0qaGghtXbmX_Obc-IXsZot2T-6mP1rruEkSmqqQacGBGZl9TMjxLU67KX8trr6llDEhAIspyYtEnY_24qaipTpiJnGhRVDdc6C3ppDZFSYtu6vSFkEkzBmg","1920","ChIJPzptf4u-vzsRYl7FhM9LGJc","GW48+62 Ella, Goa","7J7MGW48+62","4.6","ChIJPzptf4u-vzsRYl7FhM9LGJc","tourist_attraction","church","place_of_worship","point_of_interest","establishment","551",""
"","","","","southwest","15.50421527010728","73.91366182010728","","","","","","","","","","","","","","","","","","","",""
"","Church of St. Augustine Ruins,, Goa Velha, Goa 403402, India","15.5005094","73.9064616","northeast","15.50185922989272","73.90781142989272","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","f5032c545aff8f5cb7c83e4ee8d5ce06e928a7e1","St. Augustine Tower","True","2340","<a href=""https://maps.google.com/maps/contrib/100184340073146283288"">Reejo Unni</a>","CmRaAAAA3YJGVgltVgnHElt-845FQ34v1-2-IFBvjFTct_M9-tfZ-fiCc71Lp7qZiVF8XJKa3ClNyiuN8I9IP7S_UxjnO_JftFNkBF7wJh3SN_lmItfTUgDIGbDhBicUj8KPEztZEhBjolrZg16M_so6K0QpA20DGhSsUbIGcb2b1yrRoCGJmQKBfRYGRg","4160","ChIJ7YKn9fG-vzsRqG6gJbaQxPs","GW24+6H Bainguinim, Goa","7J7MGW24+6H","4.4","ChIJ7YKn9fG-vzsRqG6gJbaQxPs","tourist_attraction","point_of_interest","establishment","","","1565",""
"","","","","southwest","15.49915957010728","73.90511177010727","","","","","","","","","","","","","","","","","","","",""
